# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.720579348033e-02       1.580084195828e+04 
       3.737889256048e-02       1.572894466406e+04 
       3.755317068075e-02       1.565707873508e+04 
       3.772866723865e-02       1.558528861667e+04 
       3.790542337462e-02       1.551356909741e+04 
       3.808348207333e-02       1.544188355620e+04 
       3.826288827237e-02       1.537022433300e+04 
       3.844368897902e-02       1.529858939748e+04 
       3.862593339577e-02       1.522708476787e+04 
       3.880967305549e-02       1.515556376404e+04 
       3.899496196701e-02       1.508405267347e+04 
       3.918185677219e-02       1.501264606132e+04 
       3.937041691553e-02       1.494122270688e+04 
       3.956070482749e-02       1.486984187976e+04 
       3.975278612296e-02       1.479849116229e+04 
       3.994672981632e-02       1.472717047051e+04 
       4.014260855473e-02       1.465587991373e+04 
       4.034049887166e-02       1.458461787810e+04 
       4.054048146260e-02       1.451329864321e+04 
       4.074264148545e-02       1.444198569086e+04 
       4.094706888819e-02       1.437074272888e+04 
       4.115385876677e-02       1.429947304007e+04 
       4.136311175672e-02       1.422816688976e+04 
       4.157493446222e-02       1.415682237891e+04 
       4.178943992698e-02       1.408550676625e+04 
       4.200674815187e-02       1.401410350642e+04 
       4.222698666486e-02       1.394270095731e+04 
       4.245029114983e-02       1.387120985622e+04 
       4.267680614122e-02       1.379965613116e+04 
       4.290668579337e-02       1.372803633321e+04 
       4.314009473378e-02       1.365634708893e+04 
       4.337720901158e-02       1.358452281559e+04 
       4.361821715409e-02       1.351266593093e+04 
       4.386332134615e-02       1.344062247414e+04 
       4.411273874961e-02       1.336847357092e+04 
       4.436670298304e-02       1.329616401942e+04 
       4.462546578517e-02       1.322369392622e+04 
       4.488929888946e-02       1.315103612091e+04 
       4.515849614237e-02       1.307815129452e+04 
       4.543337590333e-02       1.300505047057e+04 
       4.571428377167e-02       1.293170424270e+04 
       4.600159569420e-02       1.285807603510e+04 
       4.629572151746e-02       1.278417177026e+04 
       4.659710906112e-02       1.270997199496e+04 
       4.690624880477e-02       1.263538471752e+04 
       4.722367929881e-02       1.256038879832e+04 
       4.754999343417e-02       1.248502932311e+04 
       4.788584573408e-02       1.240909480486e+04 
       4.823196086776e-02       1.233275814816e+04 
       4.858914363080e-02       1.225581582629e+04 
       4.895829069414e-02       1.217826937699e+04 
       4.934040449490e-02       1.210006798770e+04 
       4.973660973320e-02       1.202111249687e+04 
       5.014817305378e-02       1.194132373183e+04 
       5.057652663786e-02       1.186063021066e+04 
       5.102329661699e-02       1.177896562525e+04 
       5.149033745829e-02       1.169618669033e+04 
       5.197977377299e-02       1.161213935402e+04 
       5.249405138330e-02       1.152671652780e+04 
       5.303599996276e-02       1.143969052638e+04 
       5.360891015744e-02       1.135086236644e+04 
       5.421662880258e-02       1.126000299827e+04 
       5.486367664725e-02       1.116675388561e+04 
       5.555539379835e-02       1.107071810727e+04 
       5.629811866726e-02       1.097144644662e+04 
       5.709940604132e-02       1.086825240158e+04 
       5.796828795772e-02       1.076037705619e+04 
       5.891557526987e-02       1.064674322880e+04 
       5.995418433544e-02       1.052596511481e+04 
       6.109944551485e-02       1.039615856936e+04 
       6.236929812133e-02       1.025488629960e+04 
       6.378418878331e-02       1.009878558256e+04 
       6.536636562026e-02       9.923552924878e+03 
       6.713814057353e-02       9.723692317889e+03 
       6.911871977422e-02       9.492812169383e+03 
       7.131965191023e-02       9.224374869182e+03 
       7.374002532023e-02       8.913287564009e+03 
       7.636379223756e-02       8.558183397278e+03 
       7.916152845839e-02       8.163330595888e+03 
       8.209653637946e-02       7.739239938451e+03 
       8.513226794672e-02       7.301221906440e+03 
       8.823765766540e-02       6.866641680215e+03 
       9.138913592937e-02       6.452079550918e+03 
       9.457018017578e-02       6.071055145298e+03 
       9.776980618071e-02       5.732808056024e+03 
       1.009809587675e-01       5.442061849747e+03 
       1.041992041704e-01       5.199170284866e+03 
       1.074217935955e-01       5.000955743013e+03 
       1.106470370061e-01       4.841515280852e+03 
       1.138739005235e-01       4.713047135804e+03 
       1.171017535294e-01       4.606708754424e+03 
       1.203302119910e-01       4.513441148156e+03 
       1.235590422020e-01       4.424680865405e+03 
       1.267881019376e-01       4.333151822118e+03 
       1.300173045901e-01       4.233412362110e+03 
       1.332465973492e-01       4.122248269519e+03 
       1.364759479413e-01       3.998823671788e+03 
       1.397053365753e-01       3.864475077973e+03 
       1.429347510518e-01       3.722274785790e+03 
       1.461641837933e-01       3.576427156572e+03 
       1.493936300406e-01       3.431596358191e+03 
       1.526230867579e-01       3.292290731331e+03 
       1.558525519661e-01       3.162353062563e+03 
       1.590820243383e-01       3.044657491893e+03 
       1.623115029528e-01       2.940910322927e+03 
       1.655409871426e-01       2.851652055986e+03 
       1.687704764031e-01       2.776345667998e+03 
       1.719999703356e-01       2.713557847320e+03 
       1.752294686122e-01       2.661165978697e+03 
       1.784589709541e-01       2.616612478655e+03 
       1.816884771177e-01       2.577149395043e+03 
       1.849179868860e-01       2.540388577677e+03 
       1.881475000625e-01       2.503860610899e+03 
       1.913770164678e-01       2.465232864463e+03 
       1.946065359362e-01       2.423102218464e+03 
       1.978360583146e-01       2.376784959566e+03 
       2.010655834603e-01       2.326330199314e+03 
       2.042951112403e-01       2.272461934330e+03 
       2.075246415302e-01       2.216337709496e+03 
       2.107541742135e-01       2.159395770535e+03 
       2.139837091808e-01       2.103115546547e+03 
       2.172132463294e-01       2.048842159410e+03 
       2.204427855626e-01       1.997667569237e+03 
       2.236723267895e-01       1.950401107208e+03 
       2.269018699244e-01       1.907522675411e+03 
       2.301314148862e-01       1.869196956415e+03 
       2.333609615987e-01       1.835301869278e+03 
       2.365905099897e-01       1.805435840930e+03 
       2.398200599909e-01       1.778986007431e+03 
       2.430496115376e-01       1.755173631069e+03 
       2.462791645687e-01       1.733144132798e+03 
       2.495087190262e-01       1.712050316936e+03 
       2.527382748551e-01       1.691136841388e+03 
       2.559678320030e-01       1.669801175109e+03 
       2.591973904205e-01       1.647629036781e+03 
       2.624269500603e-01       1.624407110919e+03 
       2.656565108776e-01       1.600112342392e+03 
       2.688860728297e-01       1.574888319363e+03 
