# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.655409871426e-01       2.542725762368e+03 
       1.687704764031e-01       2.458800078368e+03 
       1.719999703356e-01       2.388349731808e+03 
       1.752294686122e-01       2.329121418589e+03 
       1.784589709541e-01       2.278389328814e+03 
       1.816884771177e-01       2.233222252353e+03 
       1.849179868860e-01       2.191074312526e+03 
       1.881475000625e-01       2.149319596591e+03 
       1.913770164678e-01       2.105484269108e+03 
       1.946065359362e-01       2.058083108579e+03 
       1.978360583146e-01       2.006390243410e+03 
       2.010655834603e-01       1.950449140955e+03 
       2.042951112403e-01       1.891010993688e+03 
       2.075246415302e-01       1.829282676378e+03 
       2.107541742135e-01       1.766770718183e+03 
       2.139837091808e-01       1.705032784660e+03 
       2.172132463294e-01       1.645494473801e+03 
       2.204427855626e-01       1.589322876812e+03 
       2.236723267895e-01       1.537392646503e+03 
       2.269018699244e-01       1.490231667873e+03 
       2.301314148862e-01       1.448031529027e+03 
       2.333609615987e-01       1.410674051829e+03 
       2.365905099897e-01       1.377736222427e+03 
       2.398200599909e-01       1.348562437488e+03 
       2.430496115376e-01       1.322313646343e+03 
       2.462791645687e-01       1.298065695444e+03 
       2.495087190262e-01       1.274900475701e+03 
       2.527382748551e-01       1.251998014216e+03 
       2.559678320030e-01       1.228702556395e+03 
       2.591973904205e-01       1.204560641812e+03 
       2.624269500603e-01       1.179334653200e+03 
       2.656565108776e-01       1.152991395973e+03 
       2.688860728297e-01       1.125677269211e+03 
       2.721156358760e-01       1.097685988477e+03 
       2.753451999778e-01       1.069428718782e+03 
       2.785747650980e-01       1.041376915009e+03 
       2.818043312016e-01       1.013999224378e+03 
       2.850338982549e-01       9.877413478092e+02 
       2.882634662258e-01       9.629396064381e+02 
       2.914930350836e-01       9.398121385379e+02 
       2.947226047990e-01       9.184441141189e+02 
       2.979521753440e-01       8.987957166067e+02 
       3.011817466918e-01       8.807292303355e+02 
       3.044113188166e-01       8.640299839681e+02 
       3.076408916939e-01       8.484477507011e+02 
       3.108704653001e-01       8.337024438454e+02 
       3.141000396126e-01       8.195181936538e+02 
       3.173296146097e-01       8.056359646609e+02 
       3.205591902706e-01       7.918320632603e+02 
       3.237887665754e-01       7.779337996995e+02 
       3.270183435049e-01       7.638369728954e+02 
       3.302479210407e-01       7.495056632620e+02 
       3.334774991650e-01       7.349767343766e+02 
       3.367070778610e-01       7.203362125309e+02 
       3.399366571121e-01       7.057084294600e+02 
       3.431662369026e-01       6.912267112318e+02 
       3.463958172174e-01       6.770258673811e+02 
       3.496253980420e-01       6.632267589673e+02 
       3.528549793621e-01       6.499317576583e+02 
       3.560845611644e-01       6.372138645791e+02 
       3.593141434357e-01       6.251219798175e+02 
       3.625437261634e-01       6.136701956720e+02 
       3.657733093354e-01       6.028357808501e+02 
       3.690028929400e-01       5.925658913826e+02 
       3.722324769659e-01       5.827778607198e+02 
       3.754620614021e-01       5.733799038615e+02 
       3.786916462381e-01       5.642736285060e+02 
       3.819212314638e-01       5.553711095419e+02 
       3.851508170692e-01       5.466037708560e+02 
       3.883804030449e-01       5.379204251690e+02 
       3.916099893817e-01       5.292875844138e+02 
       3.948395760707e-01       5.206887082410e+02 
       3.980691631032e-01       5.121175522166e+02 
       4.012987504709e-01       5.035892758197e+02 
       4.045283381659e-01       4.951236250220e+02 
       4.077579261802e-01       4.867558035764e+02 
       4.109875145063e-01       4.785248194830e+02 
       4.142171031370e-01       4.704708811590e+02 
       4.174466920650e-01       4.626272229685e+02 
