# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.249405138330e-02       1.175604771675e+04 
       5.303599996276e-02       1.166671291847e+04 
       5.360891015744e-02       1.157546981212e+04 
       5.421662880258e-02       1.148207487554e+04 
       5.486367664725e-02       1.138614906281e+04 
       5.555539379835e-02       1.128727140528e+04 
       5.629811866726e-02       1.118496397565e+04 
       5.709940604132e-02       1.107849962890e+04 
       5.796828795772e-02       1.096707121419e+04 
       5.891557526987e-02       1.084953552601e+04 
       5.995418433544e-02       1.072442091000e+04 
       6.109944551485e-02       1.058972784875e+04 
       6.236929812133e-02       1.044286845329e+04 
       6.378418878331e-02       1.028027665139e+04 
       6.536636562026e-02       1.009738841702e+04 
       6.713814057353e-02       9.888379514613e+03 
       6.911871977422e-02       9.646477662710e+03 
       7.131965191023e-02       9.364753813331e+03 
       7.374002532023e-02       9.037796477690e+03 
       7.636379223756e-02       8.664106442613e+03 
       7.916152845839e-02       8.248096312751e+03 
       8.209653637946e-02       7.800721631354e+03 
       8.513226794672e-02       7.337972210738e+03 
       8.823765766540e-02       6.878013070616e+03 
       9.138913592937e-02       6.438233085764e+03 
       9.457018017578e-02       6.032876811296e+03 
       9.776980618071e-02       5.671762496499e+03 
       1.009809587675e-01       5.360010534944e+03 
       1.041992041704e-01       5.098163356085e+03 
       1.074217935955e-01       4.883033040322e+03 
       1.106470370061e-01       4.708529037302e+03 
       1.138739005235e-01       4.566524538468e+03 
       1.171017535294e-01       4.447770974631e+03 
       1.203302119910e-01       4.342785002625e+03 
       1.235590422020e-01       4.242615693206e+03 
       1.267881019376e-01       4.139683873941e+03 
       1.300173045901e-01       4.028349747274e+03 
       1.332465973492e-01       3.905306627889e+03 
       1.364759479413e-01       3.769717527184e+03 
       1.397053365753e-01       3.622985647909e+03 
       1.429347510518e-01       3.468297309869e+03 
       1.461641837933e-01       3.310003455199e+03 
       1.493936300406e-01       3.152936391639e+03 
       1.526230867579e-01       3.001783742619e+03 
       1.558525519661e-01       2.860564285527e+03 
       1.590820243383e-01       2.732308827537e+03 
       1.623115029528e-01       2.618840837103e+03 
       1.655409871426e-01       2.520764027079e+03 
       1.687704764031e-01       2.437542016672e+03 
       1.719999703356e-01       2.367681147739e+03 
       1.752294686122e-01       2.308947187768e+03 
       1.784589709541e-01       2.258637587679e+03 
       1.816884771177e-01       2.213846250538e+03 
       1.849179868860e-01       2.172049163893e+03 
       1.881475000625e-01       2.130643111641e+03 
       1.913770164678e-01       2.087175706345e+03 
       1.946065359362e-01       2.040174606777e+03 
       1.978360583146e-01       1.988920226801e+03 
       2.010655834603e-01       1.933455671510e+03 
       2.042951112403e-01       1.874525607616e+03 
       2.075246415302e-01       1.813326371416e+03 
       2.107541742135e-01       1.751351291476e+03 
       2.139837091808e-01       1.690144390334e+03 
       2.172132463294e-01       1.631118769622e+03 
       2.204427855626e-01       1.575431240703e+03 
       2.236723267895e-01       1.523948705679e+03 
       2.269018699244e-01       1.477194338338e+03 
       2.301314148862e-01       1.435357979757e+03 
       2.333609615987e-01       1.398322403274e+03 
       2.365905099897e-01       1.365668211242e+03 
       2.398200599909e-01       1.336745465510e+03 
       2.430496115376e-01       1.310722433339e+03 
       2.462791645687e-01       1.286683022506e+03 
       2.495087190262e-01       1.263717133710e+03 
       2.527382748551e-01       1.241011961395e+03 
       2.559678320030e-01       1.217917493549e+03 
       2.591973904205e-01       1.193984254007e+03 
       2.624269500603e-01       1.168976703714e+03 
       2.656565108776e-01       1.142861921663e+03 
       2.688860728297e-01       1.115785026219e+03 
       2.721156358760e-01       1.088037153995e+03 
       2.753451999778e-01       1.060025849201e+03 
       2.785747650980e-01       1.032218401904e+03 
       2.818043312016e-01       1.005079328370e+03 
       2.850338982549e-01       9.790504015855e+02 
       2.882634662258e-01       9.544649686943e+02 
       2.914930350836e-01       9.315392262108e+02 
       2.947226047990e-01       9.103575739919e+02 
       2.979521753440e-01       8.908805372297e+02 
       3.011817466918e-01       8.729716038812e+02 
       3.044113188166e-01       8.564179727116e+02 
       3.076408916939e-01       8.409716052759e+02 
       3.108704653001e-01       8.263548814367e+02 
       3.141000396126e-01       8.122943593356e+02 
       3.173296146097e-01       7.985332770322e+02 
       3.205591902706e-01       7.848499021254e+02 
       3.237887665754e-01       7.710730694790e+02 
       3.270183435049e-01       7.570995016640e+02 
       3.302479210407e-01       7.428935896210e+02 
       3.334774991650e-01       7.284918597167e+02 
