# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  112       4.149251185211e-10       1.260108158150e-13      -4.170870563669e-12       0.000000000000e+00       7.447672579747e-12       1.136463968229e-12      -6.454548336363e-15 
  113       4.194097959902e-10       1.276165570125e-13      -4.255855624364e-12       0.000000000000e+00       7.271251092488e-12       1.115760290824e-12      -6.390423832959e-15 
  114       4.239133560520e-10       1.291793151115e-13      -4.340017979645e-12       0.000000000000e+00       7.100237608053e-12       1.095617104839e-12      -6.325141836797e-15 
  115       4.284351163417e-10       1.306974934884e-13      -4.423283635647e-12       0.000000000000e+00       6.934555994881e-12       1.076024211361e-12      -6.258728815458e-15 
  116       4.329742857010e-10       1.321695154007e-13      -4.505578200937e-12       0.000000000000e+00       6.774093155991e-12       1.056966999300e-12      -6.191207432621e-15 
  117       4.375299607124e-10       1.335938252071e-13      -4.586826914514e-12       0.000000000000e+00       6.618697932783e-12       1.038426314157e-12      -6.122596383774e-15 
  118       4.421011222329e-10       1.349688895861e-13      -4.666954673806e-12       0.000000000000e+00       6.468180008839e-12       1.020378326791e-12      -6.052910231921e-15 
  119       4.466866319281e-10       1.362931987553e-13      -4.745886062669e-12       0.000000000000e+00       6.322308813721e-12       1.002794402186e-12      -5.982159243296e-15 
  120       4.512852288062e-10       1.375652676910e-13      -4.823545379390e-12       0.000000000000e+00       6.180812426775e-12       9.856409682166e-13      -5.910349223071e-15 
  121       4.558955257520e-10       1.387836373470e-13      -4.899856664683e-12       0.000000000000e+00       6.043376480927e-12       9.688793844197e-13      -5.837481351068e-15 
  122       4.605160060609e-10       1.399468758739e-13      -4.974743729690e-12       0.000000000000e+00       5.909643066487e-12       9.524658107577e-13      -5.763552017472e-15 
  123       4.651452063599e-10       1.410536273996e-13      -5.048131137013e-12       0.000000000000e+00       5.779287994123e-12       9.363615305342e-13      -5.688584802780e-15 
  124       4.697822965482e-10       1.421027621186e-13      -5.119947211791e-12       0.000000000000e+00       5.652264969243e-12       9.205655414898e-13      -5.612730927616e-15 
  125       4.744265602595e-10       1.430932458231e-13      -5.190121430921e-12       0.000000000000e+00       5.528587533570e-12       9.050854789484e-13      -5.536180086902e-15 
  126       4.790772124637e-10       1.440240954634e-13      -5.258583536138e-12       0.000000000000e+00       5.408252743723e-12       8.899274485489e-13      -5.459129426927e-15 
