# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.850338982549e-01       1.453079711691e+03 
       2.882634662258e-01       1.429963088391e+03 
       2.914930350836e-01       1.408354331967e+03 
       2.947226047990e-01       1.388323591224e+03 
       2.979521753440e-01       1.369828448606e+03 
       3.011817466918e-01       1.352739506833e+03 
       3.044113188166e-01       1.336859944902e+03 
       3.076408916939e-01       1.321962892869e+03 
       3.108704653001e-01       1.307796592901e+03 
       3.141000396126e-01       1.294114717015e+03 
       3.173296146097e-01       1.280687444398e+03 
       3.205591902706e-01       1.267317736828e+03 
       3.237887665754e-01       1.253855008606e+03 
       3.270183435049e-01       1.240210267056e+03 
       3.302479210407e-01       1.226355459479e+03 
       3.334774991650e-01       1.212326825417e+03 
       3.367070778610e-01       1.198203456897e+03 
       3.399366571121e-01       1.184097176981e+03 
       3.431662369026e-01       1.170126470249e+03 
       3.463958172174e-01       1.156409733722e+03 
       3.496253980420e-01       1.143051836395e+03 
       3.528549793621e-01       1.130140345798e+03 
       3.560845611644e-01       1.117736425895e+03 
       3.593141434357e-01       1.105879754713e+03 
       3.625437261634e-01       1.094579731334e+03 
       3.657733093354e-01       1.083814225532e+03 
       3.690028929400e-01       1.073535732192e+03 
       3.722324769659e-01       1.063671963054e+03 
       3.754620614021e-01       1.054143648043e+03 
       3.786916462381e-01       1.044866733070e+03 
       3.819212314638e-01       1.035766786618e+03 
       3.851508170692e-01       1.026786329355e+03 
       3.883804030449e-01       1.017882996399e+03 
       3.916099893817e-01       1.009029616415e+03 
       3.948395760707e-01       1.000213395835e+03 
       3.980691631032e-01       9.914302177789e+02 
       4.012987504709e-01       9.826936780501e+02 
       4.045283381659e-01       9.740209721458e+02 
       4.077579261802e-01       9.654417277611e+02 
       4.109875145063e-01       9.569882603199e+02 
       4.142171031370e-01       9.486933850768e+02 
       4.174466920650e-01       9.405837616402e+02 
       4.206762812835e-01       9.326759627531e+02 
       4.239058707859e-01       9.249805048889e+02 
       4.271354605658e-01       9.174948644147e+02 
       4.303650506167e-01       9.102162819554e+02 
       4.335946409327e-01       9.031343388912e+02 
       4.368242315078e-01       8.962364897795e+02 
       4.400538223363e-01       8.895091534084e+02 
       4.432834134127e-01       8.829331977795e+02 
