# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   38       1.861567050677e-10       5.616366199113e-15       1.904027357410e-13       0.000000000000e+00       5.612515475082e-11       1.071712661747e-11      -4.795895913975e-15 
   39       1.895788276629e-10       6.131199579396e-15       1.821139752180e-13       0.000000000000e+00       5.302351276459e-11       1.018680572629e-11      -5.689094668354e-15 
   40       1.930377830288e-10       6.676437067859e-15       1.723920762145e-13       0.000000000000e+00       5.014033898397e-11       9.692297874249e-12      -6.353489891862e-15 
   41       1.965352898283e-10       7.252822985272e-15       1.611753766538e-13       0.000000000000e+00       4.746687627090e-11       9.232343512835e-12      -6.721917038400e-15 
   42       2.000685388348e-10       7.861074914858e-15       1.483998003079e-13       0.000000000000e+00       4.498043669613e-11       8.803326072975e-12      -6.720232649550e-15 
   43       2.036325219031e-10       8.501818825777e-15       1.340123528918e-13       0.000000000000e+00       4.265246788283e-11       8.400615139838e-12      -6.301812352691e-15 
   44       2.072289788786e-10       9.175374428941e-15       1.180171670926e-13       0.000000000000e+00       4.047850956660e-11       8.023566586758e-12      -5.564555741780e-15 
   45       2.108594632240e-10       9.881899935181e-15       1.004434388561e-13       0.000000000000e+00       3.845561948924e-11       7.671746985074e-12      -4.669896800409e-15 
   46       2.145225187891e-10       1.062144377591e-14       8.133358346633e-14       0.000000000000e+00       3.657339776031e-11       7.343429761303e-12      -3.813068600455e-15 
   47       2.182133958173e-10       1.139393885949e-14       6.074388032181e-14       0.000000000000e+00       3.481341027225e-11       7.035494492364e-12      -3.225025053303e-15 
   48       2.219262724298e-10       1.219934150751e-14       3.872252324086e-14       0.000000000000e+00       3.315469700232e-11       6.744367472102e-12      -3.108272172669e-15 
   49       2.256623222293e-10       1.303810797774e-14       1.523495033754e-14       0.000000000000e+00       3.159347838374e-11       6.469391910830e-12      -3.418488197841e-15 
   50       2.294234329214e-10       1.391084239890e-14      -9.781426650586e-15       0.000000000000e+00       3.012801328174e-11       6.210234731667e-12      -4.024646641525e-15 
   51       2.332097470702e-10       1.481816541630e-14      -3.639696112917e-14       0.000000000000e+00       2.875273952647e-11       5.965881836860e-12      -4.768317623255e-15 
   52       2.370195059349e-10       1.576071582979e-14      -6.469027965032e-14       0.000000000000e+00       2.745800778150e-11       5.734590529103e-12      -5.462217656916e-15 
   53       2.408503397499e-10       1.673902982914e-14      -9.473240947656e-14       0.000000000000e+00       2.623300653746e-11       5.514439849040e-12      -5.935443420822e-15 
   54       2.447038875549e-10       1.775313847255e-14      -1.265332002278e-13       0.000000000000e+00       2.507603271444e-11       5.305257248169e-12      -6.186166770617e-15 
   55       2.485820931502e-10       1.880286955739e-14      -1.600820103205e-13       0.000000000000e+00       2.398639824247e-11       5.107104423260e-12      -6.265676645094e-15 
   56       2.524857692703e-10       1.988795754725e-14      -1.953627066807e-13       0.000000000000e+00       2.296134075438e-11       4.919700763599e-12      -6.235627720323e-15 
   57       2.564145020677e-10       2.100804007771e-14      -2.323534859362e-13       0.000000000000e+00       2.199589125413e-11       4.742400842159e-12      -6.168547596863e-15 
   58       2.603665555969e-10       2.216265446217e-14      -2.710266956088e-13       0.000000000000e+00       2.108274178511e-11       4.574171906775e-12      -6.148343986978e-15 
   59       2.643398341414e-10       2.335135032832e-14      -3.113577247454e-13       0.000000000000e+00       2.021420025078e-11       4.413888639476e-12      -6.249441845073e-15 
   60       2.683352470983e-10       2.457406600925e-14      -3.533544929337e-13       0.000000000000e+00       1.938888554739e-11       4.261348490931e-12      -6.467385114939e-15 
   61       2.723539580983e-10       2.583083354141e-14      -3.970345056676e-13       0.000000000000e+00       1.860635612619e-11       4.116452774791e-12      -6.772986381526e-15 
   62       2.763963374300e-10       2.712167065272e-14      -4.424165130447e-13       0.000000000000e+00       1.786509922467e-11       3.978898617531e-12      -7.132067109259e-15 
   63       2.804619023840e-10       2.844658120502e-14      -4.895206383975e-13       0.000000000000e+00       1.716246928578e-11       3.848167204474e-12      -7.505240420547e-15 
   64       2.845492575953e-10       2.980555563652e-14      -5.383685069239e-13       0.000000000000e+00       1.649462637718e-11       3.723512025824e-12      -7.847693874299e-15 
   65       2.886568768954e-10       3.119845470691e-14      -5.889737619717e-13       0.000000000000e+00       1.585756078123e-11       3.604163286053e-12      -8.119183281778e-15 
   66       2.927857753229e-10       3.262463112259e-14      -6.413109905106e-13       0.000000000000e+00       1.525055729164e-11       3.490017849480e-12      -8.316962083284e-15 
   67       2.969372980283e-10       3.408322833230e-14      -6.953404271076e-13       0.000000000000e+00       1.467335668144e-11       3.381074833657e-12      -8.449458145857e-15 
   68       3.011122932550e-10       3.557328738447e-14      -7.510168479427e-13       0.000000000000e+00       1.412510365603e-11       3.277226738600e-12      -8.526745218218e-15 
   69       3.053110762211e-10       3.709374410533e-14      -8.082894305634e-13       0.000000000000e+00       1.360431565479e-11       3.178253739341e-12      -8.560611332704e-15 
   70       3.095333930010e-10       3.864342627709e-14      -8.671016136389e-13       0.000000000000e+00       1.310885165278e-11       3.083817978486e-12      -8.564627207201e-15 
   71       3.137783844076e-10       4.022105081613e-14      -9.273909567137e-13       0.000000000000e+00       1.263588096234e-11       2.993457858768e-12      -8.554214647075e-15 
   72       3.180450794659e-10       4.182534702275e-14      -9.890994882944e-13       0.000000000000e+00       1.218259106649e-11       2.906705883039e-12      -8.543261287349e-15 
   73       3.223340657604e-10       4.345545999019e-14      -1.052207361341e-12       0.000000000000e+00       1.174853774516e-11       2.823481044101e-12      -8.533060535399e-15 
   74       3.266460759320e-10       4.511061989098e-14      -1.116705434576e-12       0.000000000000e+00       1.133369177557e-11       2.743761790516e-12      -8.521362379466e-15 
   75       3.309814628765e-10       4.679002282192e-14      -1.182585454080e-12       0.000000000000e+00       1.093772578866e-11       2.667466315154e-12      -8.505628672210e-15 
